rxn_id,reaction_balance_status,reaction_direction
|RXN-22487|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-8092|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|2.1.1.90-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-17984|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-20752|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-19796|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-15351|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-9741|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-11478|,|BALANCED|,|RIGHT-TO-LEFT|
|RXN-12154|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-11271|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-12816|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-16981|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-21237|,|BALANCED|,|LEFT-TO-RIGHT|
|N-METHYLALANINE-DEHYDROGENASE-RXN|,|BALANCED|,
|DIOHBUTANONEPSYN-RXN|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN8J2-151|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|3.1.26.2-RXN|,|UNBALANCED-UNFIXABLE|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-9777|,|UNDETERMINED|,|LEFT-TO-RIGHT|
|RXN0-7385|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-9510|,|BALANCED|,|PHYSIOL-RIGHT-TO-LEFT|
|RXN-8594|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-19984|,|BALANCED|,|PHYSIOL-RIGHT-TO-LEFT|
|RXN-17846|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-7886|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-2841|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-18370|,|BALANCED|,|REVERSIBLE|
|RXN-1142|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-11195|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-15188|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-14256|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-15855|,|BALANCED|,|LEFT-TO-RIGHT|
|GALACTARDEHYDRA-RXN|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-21127|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-12662|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-11731|,|UNDETERMINED|,
|CASBENE-SYNTHASE-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-4305|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-9654|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN66-319|,|BALANCED|,|RIGHT-TO-LEFT|
|2.6.1.41-RXN|,|BALANCED|,|REVERSIBLE|
|URKI-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-20527|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-17491|,|BALANCED|,|RIGHT-TO-LEFT|
|RXN-18228|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN0-3182|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-21510|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-14429|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-10682|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-15694|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-17334|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-18866|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-11887|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-21108|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|AROMATIC-L-AMINO-ACID-DECARBOXYLASE-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-14759|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-10015|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN0-5304|,|BALANCED|,|REVERSIBLE|
|RXN-9557|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-21326|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|3.4.21.19-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-22056|,|BALANCED|,|PHYSIOL-RIGHT-TO-LEFT|
|RXN-7487|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-17250|,|BALANCED|,
|RXN-18707|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-20358|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-13341|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-17482|,|BALANCED|,|PHYSIOL-RIGHT-TO-LEFT|
|RXN-10060|,|BALANCED|,|PHYSIOL-RIGHT-TO-LEFT|
|R305-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-17794|,|BALANCED|,|PHYSIOL-RIGHT-TO-LEFT|
|RXN-10879|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-14891|,|UNBALANCED-UNFIXABLE|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-21008|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-8471|,|BALANCED|,|LEFT-TO-RIGHT|
|HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN|,|BALANCED|,|REVERSIBLE|
|RXN-9081|,|BALANCED|,|LEFT-TO-RIGHT|
|3.4.23.23-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-9535|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-21929|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|4.2.3.19-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-16366|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN1G01-46|,|BALANCED|,|REVERSIBLE|
|RXN-17172|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-13160|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-6581|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-13870|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-17972|,|BALANCED|,|REVERSIBLE|
|PYROGLUTAMYL-PEPTIDASE-I-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-10707|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-20877|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|2-OXOADIPATE-REDUCTASE-RXN|,|BALANCED|,
|LACTATE-RACEMASE-RXN|,|BALANCED|,|REVERSIBLE|
|RXN-20874|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|THYROXINE-DEIODINASE-RXN|,|BALANCED|,|RIGHT-TO-LEFT|
|RXN-12228|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
