RXN-8266,rule0009_12
RXN-8266_reverse,rule0008_03
RXN-10778,rule0091_02
RXN-10778_reverse,rule0092_4
RXN-17495,rule0017_13
RXN-17495_reverse,rule0016_076
RXN0-5409,rule0012_277
RXN0-5409_reverse,rule0013_65
IMIDAZOLE-N-ACETYLTRANSFERASE-RXN,rule0041_17
IMIDAZOLE-N-ACETYLTRANSFERASE-RXN_reverse
RXN-16060,rule0347_1
RXN-16060_reverse,rule0348_1
3.1.1.71-RXN,rule0006_165
3.1.1.71-RXN_reverse,rule0007_183
RXN-16523,rule0012_271
RXN-16523_reverse,rule0013_65
RXN-12091,rule0112_1
RXN-12091_reverse,rule0113_1
CARBOXY-OXOHEPT-ENEDIOATE-DECARBOXY-RXN
CARBOXY-OXOHEPT-ENEDIOATE-DECARBOXY-RXN_reverse
NUCLEOSIDE-PHOSPHOTRANSFERASE-RXN
NUCLEOSIDE-PHOSPHOTRANSFERASE-RXN_reverse
2.7.13.2-RXN
2.7.13.2-RXN_reverse
RXN-14997,rule0063_1
RXN-14997_reverse
RXN-7693,rule0003_145
RXN-7693_reverse,rule0002_140
RXN0-2461,rule0057_1
RXN0-2461_reverse,rule0058_2
RXN-12564,rule0006_179
RXN-12564_reverse,rule0007_038
RXN-1122,rule0039_05
RXN-1122_reverse,rule0038_6
RXN-17944
RXN-17944_reverse
FARNESOL-DEHYDROGENASE-RXN,rule0003_071
FARNESOL-DEHYDROGENASE-RXN_reverse,rule0002_063
RXN-15481
RXN-15481_reverse
RXN66-304,rule0072_6
RXN66-304_reverse,rule0073_5
RXN-18370,rule0021_30
RXN-18370_reverse,rule0022_02
RXN-14075
RXN-14075_reverse
R422-RXN,rule0082_2
R422-RXN_reverse,rule0083_06
RXN-11662,rule0003_003
RXN-11662_reverse,rule0002_003
4OH2OXOGLUTARALDOL-RXN,rule0051_01
4OH2OXOGLUTARALDOL-RXN_reverse,rule0053_10
THIOL-OXIDASE-RXN,rule0791_2
THIOL-OXIDASE-RXN_reverse,rule0790_2
RXN-17056
RXN-17056_reverse
RXN-9725
RXN-9725_reverse
RXN-14588
RXN-14588_reverse
RXN-13054
RXN-13054_reverse
+-NEOMENTHOL-DEHYDROGENASE-RXN,rule0003_119
+-NEOMENTHOL-DEHYDROGENASE-RXN_reverse,rule0002_100
RXN-10717,rule0002_147
RXN-10717_reverse,rule0003_170
RXN-17527,rule0020_17
RXN-17527_reverse
RXN0-5200
RXN0-5200_reverse
RXN-13547,rule0014_04
RXN-13547_reverse,rule0015_12
RXN-8746,rule0006_064,rule0124_32
RXN-8746_reverse,rule0007_108,rule0125_5
RXN-4726,rule0009_39
RXN-4726_reverse,rule0008_37
RXN-12134,rule0035_8
RXN-12134_reverse,rule0032_05
RXN-16473
RXN-16473_reverse
ORNITHINE-GLU-AMINOTRANSFERASE-RXN,rule0030_11
ORNITHINE-GLU-AMINOTRANSFERASE-RXN_reverse,rule0031_6
BENZOYLFORMATE-DECARBOXYLASE-RXN,rule0023_08
